Type,PostCode,Borough,Area,Positioning,Date,Time,Description,Deaths
V1,BR3,Beckenham,Beckenham,Eden Way,16/06/1944,,The V1 stuck in Eden way . It actually struck the stand at the Evening Standard sports ground.,1
V1,BR3,Beckenham,West Wickham,Merlin Grove,16/06/1944,00:00,No other details available,0
V1,BR3,Beckenham,Beckenham,Tootswood Road,16/06/1944,09:00,"V1 hit the ARP post in Tootswood Road , casualties were ARP Wardens",3
V1,BR4,Beckenham,West Wickham,Links Way,16/06/1944,10:00,"The V 1 Fell opposite 2 Links road, all shops in station road and high st up to Sherwood way lost their windows. Houses in station road terrible wrecks. Number 10 links road just a shell. The casualties were members of the Hawes down heavy rescue party when their lorry was hit by this fly. They were returning from the Toots wood road Beckenham incident which had occurred the same day.",7
V1,BR3,Beckenham,Beckenham,The Avenue around number 44,17/06/1944,00:00,V1 struck in The Avenue and demolished number 44,1
V1,BR4,Beckenham,West Wickham,255 Wickham Chase,17/06/1944,02:00,The V1 hit 255 Wickham chase and this house was totally demolished a number of others badly damaged.,0
V1,BR4,Beckenham,West Wickham,Addington Road,21/06/1944,09:03,The V1 struck houses in the Addington Road . 1 person died in a public Air Raid shelter. 65 houses suffered severe damage at 1-29 and 2-40 Addington Road,1
V1,BR3,Beckenham,Beckenham,Between Queens Road/ Clockhouse Road,21/06/1944,14:14,"The First of 5 V1's that were to fall in this area of Beckenham. 3 houses were demolished at 69-73 Queens Road . 55-66 , 53-67 Queens Road and 50-60 Clockhouse Road suffered severe damage. 74 houses suffered a lesser degree of damage in Queens Road ,230 were slightly damaged in Queens Road , Cedars Road , Hampden Avenue , Cromwell Road , Durban Road and Clockhouse Road",3
V1,BR3,Beckenham,Beckenham,Westfield Road Between 13 and 17,23/06/1944,08:10,"The 2nd of 5 V1's That fell in this area.8 houses demolished in Westfield Road 12 houses severely damaged In Westfield Road 27 Houses damaged in Haynes and Cedars Road 75 House ,Shops and a Church damaged in Beckenham Road, Croydon Road.",4
V1,BR3,Beckenham,Hayes,Meadway,23/06/1944,22:39,"The V1 fell in the Meadway and caused severe damage to 9 houses at 52-68. At 1-47 ,2 -42,70-72 92 houses suffered slight damage.",0
V1,BR3,Beckenham,Beckenham,The Drive around number 77,25/06/1944,21:42,"This Flying bomb struck The Drive .12 houses demolished in The Drive 68-74,75-87,63-75 and 62-68 Severe damage/57-61 & 52-60 and 89-117 and 76-90 Slightly damaged. Public hall N.F.S station 237 houses slightly damaged in Church Avenue , the Crescent, Rectory road, Albermarle Road , The demolished houses have been re-built in a very similar style to their neighbours.",3
V1,BR3,Beckenham,Beckenham,Queens Road Cedars Road,26/06/1944,01:00,The 3rd of 5 V1's that were to fall in this area. 4 houses demolished in Queens Road 38:50;37-49 31 severe damage in Queens road 19-51 28-52 84 damaged in Cedars road 63-81 and Clockhouse Road 2-72 7-81 12 slightly damaged in Clockhouse Road Medium fire at 41-43 Queens road in debris,0
V1,BR4,Beckenham,West Wickham,Nash Lane,27/06/1944,08:48,The V1 fell in open ground. The only casualties were 2 horses which were slightly injured.,0
V1,SE6,Beckenham,Beckenham Hill,Beckenham Hill Road,28/06/1944,13:45,"The Flying bomb exploded In Beckenham Hill Road. 1-11 ,2-16 Highland Croft,1-23 and 2-50 Braeside.184,186,188 Beckenham Hill Road,37b Beckenham Hill Road,31-37 Southend Road/42-80 Southend Road/ Ada Lewis House Southend Road. Were damaged",0
V1,BR4,Beckenham,West Wickham,The Alders,28/06/1944,17:37,"The V1 hit The Alders behind West Wickham High Street. 9 houses and 15 shops severe damage at the Alders and High St 60 houses and shops damaged at the Alders Bolderwood way Manor rd, Chessington way, Hawkhurst way High st 131 houses slight damage at The Alders, Bolderwood Way , Manor Road , Chessington way, Hawkhurst way small fire in debris of 2 houses at the Alders",0
V1,BR3,Beckenham,Beckenham,Rectory Road,28/06/1944,17:40,"This V1 struck Rectory Road . 3 houses demolished in Rectory Road 14 houses severely damaged in Rectory Road 10 Damaged in Rectory Road 41 Slightly damaged in Blake ney , Beckenham and Hayne Road + the Regal Cinema",1
V1,BR3,Beckenham,Beckenham,Shortlands Road,28/06/1944,20:05,"The Flying bomb struck at 75, Shortlands Road and demolished 2 houses. 1 severely damaged in Shortlands Road NFS station and 5 houses damaged in Shortlands Road 39 houses damaged in Den Road Kingswood Road and Scotts Lane",3
V1,BR4,Beckenham,West Wickham,Layhams Road,28/06/1944,22:29,The Flying bomb hit Wickham court farm a farm house and an acre of potatoes suffered slight damage. No casualties reported,0
V1,BR3,Beckenham,Beckenham,Shortlands Road,29/06/1944,01:15,Flying bomb in the Shortlands Road small fire in debris of private house which was demolished on impact.,0
