"Name","Description","ref","position","fatalities","date","time","postcode","borough","area","notes"
"V1.1 ","p42, Highgate Cemetery",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.2","p45, Hermitage Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.3","p46, River Way",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.4","p46, Newnton Close",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.5","p46, Bethune Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.6","p47, Darenth Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.7","p47, Castlewood Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.8","p48, Walthamstow Marshes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.9","p49, Finchley Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.10","p49, Ardwick Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.11","p50, Fortune Green Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.12","p51, Hampstead Heath",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.13","p52, Hampstead Heath",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.14","p52, Hampstead Heath",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.15","p52, Hampstead Heath",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.16","p53, Dartmouth Park Avenue",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.17","p53, Foxham Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.18","p53, Carleton Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.19","p54, Bowman's Place",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.20","p54, Holloway Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.21","p56, Carysfort Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.22","p56, Londesborough Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.23","p56, Defoe Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.24","p56, Petherton Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.25","p57, Rossendale Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.26","p57, Narford Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.27","p57, Rendlesham Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.28","p57, Benthal Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.29","p57, Farleigh Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.30","p57, Bodney Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.31","p58, Mount Pleasant Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.32","p58, Cleveleys Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.33","p58, Prout Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.34","p58, Millfields Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.35","p58, Elderfield Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.36","p58, Glyn Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.37","p59, Meeson Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.38","p59, Hackney Marshes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.39","p59, Hackney Marshes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.40","p59, Hackney Marshes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.41","p60, Temple Mills Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.42","p61, Shoot-Up Hill",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.43","p62, Broadhurst Gardens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.44","p62, Compayne Gardens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.45","p62, Acol Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.46","p62, Mortimer Crescent",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.47","p64, King Henry's Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.48","p64, Warden Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.49","p65, Hawley Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.50","p65, Clarence Way",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.51","p65, St. Pancras Way",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.52","p65, Rochester Place",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.53","p67, Highbury and Islington",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.54","p67, Highbury Grove",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.55","p67, Cross Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.56","p67, Queensbury Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.57","p67, Coleman Fields",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.58","p68, Mildmay Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.59","p68, Elizabeth Avenue",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.60","p69, Marcon Place",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.61","p69, London Fields",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.62","p69, Haggerston Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.63","p69, Westgate Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.64","p70, St. Barnabas Terrace",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.65","p71, Mabey Green",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.66","p71, River Lee Navigation",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.67","p71, Wick Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.68","p71, Benn Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.69","p71, Brookfield Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.70","p71, Victoria Park",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.71","p72, River Lea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.72","p72, River Lea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.73","p72, River Lea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.74","p76, Ashworth Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.75","p77, Circus Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.76","p77,St. John's Wood Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.77","p77, Marylebone Station approach (railway)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.78","p77, Regent's Park",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.79","p77, Regent's Park",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.80","p77, Regent's Park",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.81","p77, Regent's Park",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.82","p77, Wells Rise",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.83","p78, Regent's Park",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.84","p78, Regent's Park",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.85","p78, Regent's Park",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.86","p78, Regent's Park",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.87","p78, Regent's Park",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.88","p78, Regent's Park",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.89","p78, Regent's Park",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.90","p78, Regent's Park",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.91","p79, Stanhope Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.92","p79, Charrington Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.93","p79, Pancras Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.94","p79, Ossulston Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.95","p80, Tiber Gardens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.96","p80, Copenhagen Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.97","p80, Muriel Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.98","p80, Pentonville Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.99","p80, Gray's Inn Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.100","p81, Myddelton Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.101","p81, Spencer Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.102","p81, Roscoe Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.103","p82, Rushton Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.104","p82, Murray Grove",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.105","p82, Caroline Gardens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.106","p82, Cranwood Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.107","p82, Holywell Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.108","p82, Boundary Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.109","p83, Whiston Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.110","p83, Kay Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.111","p83, Treadway Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.112","p84, Old Ford Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.113","p84, Three Colts Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.114","p84, Bancroft Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.115","p84, Bradwell Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.116","p84, St James's Avenue",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.117","p84, Bethnal Green",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.118","p84, Bancroft Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.119","p84, Bethnal Green",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.120","p84, Bethnal Green",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.121","p85, Bethnal Green",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.122","p85, Bethnal Green",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.123","p85, Grove Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.124","p85, Grove Road, First V1 to hit London on 13th June 1944",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.125","p85, Harley Grove",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.126","p85, Brokesley Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.127","p86, Fairfield Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.128","p86, Bow Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.129","p86, Swaton Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.130","p86, Three Mill Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.131","p87, Wormwood Scrubs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.132","p87, Wormwood Scrubs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.133","p87, Australia Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.134","p87, Aldbourne Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.135","p87, Norbroke Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.136","p88, St. Quintin Avenue",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.137","p89, Walmer Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.138","p89, Clydesdale Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.139","p90, Chichester Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.140","p90, Leinster Gardens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.141","p90, Bayswater Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.142","p91, Hyde Park Place",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.143","p93, Howland Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.144","p93, Whitfield Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.145","p93, Conduit Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.146","p93, Berkeley Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.147","p93, Sherwood Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.148","p94, Russell Square",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.149","p94, Shelton Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.150","p94, Aldwych",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.151","p94, Wild Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.152","p94, Carey Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.153","p94, The Strand",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.154","p94, Temple Place",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.155","p94, Waterloo (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.156","p94, Cursitor Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.157","p94, Staple Inn",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.158","p95, Bream's Buildings",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.159","p95, Saffron Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.160","p95, Stonecutter Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.161","p95, Little Britain",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.162","p95, Blackfriars (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.163","p95, Long Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.164","p95, Barbican",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.165","p95, Queen Street Place",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.166","p95, Upper Thames Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.167","p95, Cannon Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.168","p96, Bank of England",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.169","p96, Old Broad Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.170","p96, Lower Thames Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.171","p96, Lower Thames Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.172","p97, Buxton Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.173","p97, Stepney Way",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.174","p97, Adler Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.175","p97, Hooper Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.176","p97, East Smithfield",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.177","p97, Pennington Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.178","p97, The Highway",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.179","p98, Sidney Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.180","p98, Redmans Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.181","p98, White Horse Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.182","p98,",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.183","p98, East Arbour Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.184","p98,",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.185","p98, ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.186","p98, The Highway",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.187","p98, Butcher Row",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.188","p99, ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.189","p99, Salmon Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.190","p99, Dora Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.191","p99, Thomas Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.192","p99, Bow Common Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.193","p99, ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.194","p99,",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.195","p100, Barchester Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.196","p100, Poplar High Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.197","p100, Mountague Place",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.198","p100, East India Dock",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.199","p100, East India Dock Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
